kernel_size,receptive_field,seed,development,validation,errors
1,1,23,0.5430555555555555,0.546969696969697,598
1,1,24,0.5375,0.543939393939394,602
1,1,25,0.5388888888888889,0.5446969696969697,601
2,4,23,0.9541666666666667,0.9401515151515152,79
2,4,24,0.9472222222222222,0.9371212121212121,83
2,4,25,0.9513888888888888,0.9333333333333333,88
3,7,23,0.9722222222222222,0.9666666666666667,44
3,7,24,0.9777777777777777,0.9681818181818181,42
3,7,25,0.9736111111111111,0.9681818181818181,42
4,10,23,0.9319444444444445,0.9166666666666666,110
4,10,24,0.9263888888888889,0.9075757575757576,122
4,10,25,0.925,0.9098484848484848,119
5,13,23,0.9486111111111111,0.921969696969697,103
5,13,24,0.9430555555555555,0.9242424242424242,100
5,13,25,0.9444444444444444,0.9227272727272727,102
6,16,23,0.95,0.9348484848484848,86
6,16,24,0.9472222222222222,0.9340909090909091,87
6,16,25,0.9486111111111111,0.9295454545454546,93
7,19,23,0.9472222222222222,0.9348484848484848,86
7,19,24,0.9416666666666667,0.9393939393939394,80
7,19,25,0.9444444444444444,0.9378787878787879,82
9,25,23,0.9416666666666667,0.9318181818181818,90
9,25,24,0.9486111111111111,0.9356060606060606,85
9,25,25,0.9472222222222222,0.9356060606060606,85
15,43,23,0.9472222222222222,0.9409090909090909,78
15,43,24,0.95,0.9431818181818182,75
15,43,25,0.9472222222222222,0.9409090909090909,78
