kernel_size,receptive_field,seed,development,validation,errors,errors_hard_pair,errors_elsewhere
1,1,23,0.8931013051584835,0.9804248229904207,47,25,22
1,1,24,0.8931013051584835,0.9866722199083715,32,16,16
1,1,25,0.8999378495960224,0.985006247396918,36,22,14
3,7,23,0.9260410192666252,0.9933361099541858,16,15,1
3,7,24,0.9179614667495338,0.9912536443148688,21,21,0
3,7,25,0.9105034182722188,0.9858392336526447,34,33,1
5,13,23,0.9129894344313239,0.9887546855476884,27,24,3
5,13,24,0.9272840273461778,0.9891711786755518,26,26,0
5,13,25,0.9241765071472965,0.9783423573511038,52,37,15
9,25,23,0.9198259788688626,0.9841732611411912,38,27,11
9,25,24,0.9434431323803605,0.9833402748854644,40,25,15
9,25,25,0.9372280919825979,0.9795918367346939,49,36,13
15,43,23,0.9316345556246115,0.9887546855476884,27,24,3
15,43,24,0.9266625233064015,0.967930029154519,77,68,9
15,43,25,0.9291485394655066,0.985006247396918,36,32,4
21,61,23,0.911124922311995,0.9895876718034152,25,24,1
21,61,24,0.9409571162212554,0.9925031236984589,18,16,2
21,61,25,0.9341205717837165,0.9912536443148688,21,20,1
